tconst,0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,29,30,31
tt0035423,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
tt0037404,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
tt0044429,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
tt0046292,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,
tt0047673,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,
tt0048545,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
tt0049223,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
tt0049761,,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,
tt0050817,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
tt0051390,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
tt0051459,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
tt0051658,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
tt0053965,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,
tt0054135,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
tt0054953,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
tt0056193,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
tt0056264,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
tt0056379,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
tt0057357,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
tt0058385,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
tt0058547,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,
tt0059037,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
tt0059113,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,
tt0060104,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,
tt0061418,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
tt0061512,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
tt0062485,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,
tt0062803,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
tt0063522,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
tt0064116,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0
tt0065126,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
tt0066289,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
tt0066921,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
tt0067093,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
tt0067992,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,
tt0068257,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
tt0068562,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
tt0069049,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
tt0069810,,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,
tt0069890,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
tt0070016,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
tt0070034,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
tt0070242,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
tt0070379,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
tt0071115,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
tt0071512,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
tt0071771,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,
tt0071811,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
tt0071853,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
tt0072064,,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,
tt0072783,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
tt0073104,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
tt0073195,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
tt0074285,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
tt0074812,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
tt0075029,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
tt0075148,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
tt0075249,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
